2025-11-25 15:44:08 | INFO     | root | Log file: /Users/rakeshponnala/Dev/HedgeAI/backend/logs/hedgeai.log
2025-11-25 15:44:08 | INFO     | root | ============================================================
2025-11-25 15:44:22 | INFO     | root | ============================================================
2025-11-25 15:44:22 | INFO     | root | HedgeAI Backend Starting - 2025-11-25 15:44:22
2025-11-25 15:44:22 | INFO     | root | Log file: /Users/rakeshponnala/Dev/HedgeAI/backend/logs/hedgeai.log
2025-11-25 15:44:22 | INFO     | root | ============================================================
2025-11-25 15:44:42 | INFO     | root | ============================================================
2025-11-25 15:44:42 | INFO     | root | HedgeAI Backend Starting - 2025-11-25 15:44:42
2025-11-25 15:44:42 | INFO     | root | Log file: /Users/rakeshponnala/Dev/HedgeAI/backend/logs/hedgeai.log
2025-11-25 15:44:42 | INFO     | root | ============================================================
2025-11-25 15:44:57 | INFO     | root | ============================================================
2025-11-25 15:44:57 | INFO     | root | HedgeAI Backend Starting - 2025-11-25 15:44:57
2025-11-25 15:44:57 | INFO     | root | Log file: /Users/rakeshponnala/Dev/HedgeAI/backend/logs/hedgeai.log
2025-11-25 15:44:57 | INFO     | root | ============================================================
2025-11-25 15:46:54 | INFO     | app.services.ticker_service | [TickerService] Resolving input: 'google' (cleaned: 'google')
2025-11-25 15:46:54 | INFO     | app.services.ticker_service | [TickerService] MATCH FOUND: 'google' -> GOOGL
2025-11-25 15:46:54 | INFO     | app.api.routes | [API] ========== NEW ANALYSIS REQUEST ==========
2025-11-25 15:46:54 | INFO     | app.api.routes | [API] Original query: 'google'
2025-11-25 15:46:54 | INFO     | app.api.routes | [API] Resolved ticker: 'GOOGL'
2025-11-25 15:46:54 | INFO     | app.services.data_service | [DataService] Fetching stock data for ticker: GOOGL
2025-11-25 15:46:54 | INFO     | app.services.data_service | [DataService] Yahoo Finance info keys: ['address1', 'city', 'state', 'zip', 'country', 'phone', 'website', 'industry', 'industryKey', 'industryDisp']...
2025-11-25 15:46:54 | INFO     | app.services.data_service | [DataService] Company name from info: Alphabet Inc.
2025-11-25 15:46:55 | INFO     | app.services.data_service | [DataService] Current price: 323.44
2025-11-25 15:46:55 | INFO     | primp | response: https://news.search.yahoo.com/search?p=GOOGL+stock+news+risks+concerns+2025 200
2025-11-25 15:46:55 | INFO     | primp | response: https://www.bing.com/news/infinitescrollajax?q=GOOGL+stock+news+risks+concerns+2025&InfiniteScroll=1&first=11&SFX=1&cc=us&setlang=en 200
2025-11-25 15:46:55 | INFO     | app.services.analysis_service | [AnalysisService] Sending request to claude-sonnet-4-5-20250929...
2025-11-25 15:47:18 | INFO     | httpx | HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2025-11-25 15:47:18 | INFO     | app.api.routes | [API] Analysis completed successfully for GOOGL
2025-11-25 15:47:18 | INFO     | app.api.routes | [API] Price returned: 323.44
2025-11-25 15:49:52 | INFO     | app.services.ticker_service | [TickerService] Resolving input: 'nvidia' (cleaned: 'nvidia')
2025-11-25 15:49:52 | INFO     | app.services.ticker_service | [TickerService] MATCH FOUND: 'nvidia' -> NVDA
2025-11-25 15:49:52 | INFO     | app.api.routes | [API] ========== NEW ANALYSIS REQUEST ==========
2025-11-25 15:49:52 | INFO     | app.api.routes | [API] Original query: 'nvidia'
2025-11-25 15:49:52 | INFO     | app.api.routes | [API] Resolved ticker: 'NVDA'
2025-11-25 15:49:52 | INFO     | app.services.data_service | [DataService] Fetching stock data for ticker: NVDA
2025-11-25 15:49:52 | INFO     | app.services.data_service | [DataService] Yahoo Finance info keys: ['address1', 'city', 'state', 'zip', 'country', 'phone', 'website', 'industry', 'industryKey', 'industryDisp']...
2025-11-25 15:49:52 | INFO     | app.services.data_service | [DataService] Company name from info: NVIDIA Corporation
2025-11-25 15:49:52 | INFO     | app.services.data_service | [DataService] Current price: 177.82
2025-11-25 15:49:52 | INFO     | primp | response: https://duckduckgo.com/?q=NVDA+stock+news+risks+concerns+2025 200
